日付,都道府県,学校種,学校名,試験名,試験地,住所,時間
2026/02/03,愛媛県,大学,福山平成大学,一般選抜 前期A日程（今治）,今治試験場,愛媛県今治市旭町2-3-4,
2026/02/03,愛媛県,大学,広島修道大学,一般選抜前期A/B/C,今治地域地場産業振興センター（じばさんセンター）,愛媛県今治市旭町2-3-5,
2026/02/03,愛媛県,大学,広島文化学園大学,一般選抜（前期）,松山会場,愛媛県松山市一番町3-3-1,
2026/02/03,愛媛県,大学,くらしき作陽大学,食・子・健スポ: 推薦ⅠA/一般ⅠA,松山会場（ホテルアイスル松山）,愛媛県松山市宮田町391-8,
2026/02/03,愛媛県,大学,関西大学,,えひめ共済会館,愛媛県松山市三番町5丁目13-1,
2026/02/03,愛媛県,大学,ノートルダム清心女子大学,一般選抜3教科/2教科,松山会場（TKP松山市駅前カンファレンスセンター）,愛媛県松山市千舟町4丁目3-7 青野ビル 2階,
2026/02/03,愛媛県,大学,九州産業大学,一般前期（共テ併用含む）,リジェール松山（JA愛媛8F）,愛媛県松山市南堀端町2-3 JA愛媛8F,
2026/02/03,愛媛県,大学,徳島文理大学,一般入試会場（詳細要項参照）,松山市会場　愛媛県農業共済組合,愛媛県松山市二番町4丁目4-2,
2026/02/03,愛媛県,大学,九州医療科学大学,一般選抜前期,えぴたホール愛媛（愛媛県PTA会館）,愛媛県松山市歩行町1丁目7-4,
2026/02/03,愛媛県,大学,吉備国際大学,一般前期AⅠ/AⅡ/B/C,松山会場（えぴたホール愛媛（愛媛県PTA会館）内）,愛媛県松山市歩行町1丁目7-4,
2026/02/03,愛媛県,大学,広島修道大学,一般選抜前期A/B/C,松山市総合コミュニティセンター 企画展示ホール,愛媛県松山市湊町7-5,
2026/02/03,岡山県,大学,兵庫医科大学,薬・看・リハ 前期A/B会場,岡山会場（おかやま西川原プラザ）,岡山県岡山市中区西川原255,
2026/02/03,岡山県,大学,ノートルダム清心女子大学,一般選抜3教科/2教科,本学キャンパス,岡山県岡山市北区伊福町2-16-9,
2026/02/03,岡山県,大学,関西大学,,岡山進研学院,岡山県岡山市北区伊福町二丁目10番27号,
2026/02/03,岡山県,大学,広島修道大学,一般選抜前期A/B/C,岡山コンベンションセンター,岡山県岡山市北区駅元町14-1,
2026/02/03,岡山県,大学,関西学院大学,全日程（一般/個別/英数/共通併用）,岡山コンベンションセンター,岡山県岡山市北区駅元町14-1,
2026/02/03,岡山県,大学,芝浦工業大学,一般選抜（前期/全学統一）,岡山会場（サン・ビーチOKAYAMA）,岡山県岡山市北区駅前町2-3-31,
2026/02/03,岡山県,大学,九州医療科学大学,総特待・推A/B・一般前/中,順正学園 岡山駅前キャンパス,岡山県岡山市北区岩田町2-5,
2026/02/03,岡山県,大学,吉備国際大学,一般前期AⅠ/AⅡ/B/C・中期・後期,岡山会場（順正学園駅前キャンパス）,岡山県岡山市北区岩田町2-5,
2026/02/03,岡山県,大学,京都先端科学大学,一般A,岡山シティホテル桑田町,岡山県岡山市北区桑田町3-30,
2026/02/03,岡山県,大学,徳島文理大学,一般入試会場（詳細要項参照）,岡山市会場　岡山シティホテル桑田町別館,岡山県岡山市北区桑田町3-30,
2026/02/03,岡山県,大学,流通科学大学,公募推薦・一般(中期/後期),岡山会場,岡山県岡山市北区桑田町3-30,
2026/02/03,岡山県,大学,京都光華大学,基礎学力チャレンジ/一般前期A・B,岡山国際交流センター,岡山県岡山市北区奉還町2丁目2番1号,
2026/02/03,岡山県,大学,九州産業大学,一般前期（共テ併用含む）,第一セントラルビル2号館,岡山県岡山市北区本町6-30,
2026/02/03,岡山県,大学,福山大学,一般選抜 前期A/B・後期,第一セントラルビル2号館（岡山）,岡山県岡山市北区本町6-30,
2026/02/03,岡山県,大学,福山平成大学,一般選抜A・B・後期,第一セントラルビル2号館,岡山県岡山市北区本町6-30,
2026/02/03,岡山県,大学,くらしき作陽大学,全学部: 推薦ⅠA/B・Ⅱ・ 一般ⅠA/B・Ⅱ,本学（くらしき作陽大学・作陽短期大学）,岡山県倉敷市玉島長尾3515,
2026/02/03,岡山県,大学,立命館アジア太平洋大学,スタンダード3/英語重視/共テ+英・国,岡山国際ホテル,岡山市中区門田本町4-1-16,
2026/02/03,岡山県,大学,立命館大学,一般選抜（試験地）,岡山国際ホテル,岡山市中区門田本町4-1-16,
2026/02/03,岡山県,大学,神戸学院大学,公募推薦・一般(前/中/後期),岡山会場（岡山進研学院）,岡山市北区伊福町2-10-27,
2026/02/03,沖縄県,大学,日本福祉大学,一般入学試験 前期,那覇会場（沖縄福祉保育専門学校）,沖縄県那覇市久米1-5-17,
2026/02/03,沖縄県,大学,志學館大学,推薦I、一般前期（英語民間含む）,那覇試験場（沖縄県青年会館）,沖縄県那覇市久米2-15-23,
2026/02/03,沖縄県,大学,中村学園大学,一般選抜A方式・短大一般,沖縄会場,沖縄県那覇市久米2丁目15-23,
2026/02/03,沖縄県,大学,福井工業大学,一般Ⅰ期,沖縄産業支援センター,沖縄県那覇市字小禄1831-1,
2026/02/03,沖縄県,大学,別府大学,一般A日程1、指定校等推薦、実技本学のみ,沖縄産業支援センター,沖縄県那覇市字小禄1831番地1,
2026/02/03,沖縄県,大学,東京農業大学,一般選抜A日程,沖縄産業支援センター（那覇会場）,沖縄県那覇市小禄1831-1,
2026/02/03,沖縄県,大学,九州産業大学,一般前期（共テ併用含む）,資格の大原 沖縄校,沖縄県那覇市泉崎1-13-3,
2026/02/03,沖縄県,大学,吉備国際大学,一般前期AⅠ/AⅡ/B/C,那覇会場（みんなの貸会議室那覇泉崎店）,沖縄県那覇市泉崎1-13-3 資格の大原沖縄ビル内,
2026/02/03,沖縄県,大学,九州医療科学大学,総I期・総特待・推B・一般前期,みんなの貸会議室 那覇泉崎店,沖縄県那覇市泉崎1-13-3 資格の大原沖縄校ビル内,
2026/02/03,沖縄県,大学,徳島文理大学,一般入試会場（詳細要項参照）,那覇市会場,沖縄県那覇市泊2丁目16-3,
2026/02/03,沖縄県,大学,芝浦工業大学,一般選抜（前期/全学統一）,沖縄会場（国際電子ビジネス専門学校）,沖縄県那覇市壺川3丁目5-3,
2026/02/03,宮崎県,大学,九州医療科学大学,総I〜III期・スポ特・推A/B・一般前中後,九州医療科学大学（本学）,宮崎県延岡市吉野町1714-1,
2026/02/03,宮崎県,大学,福岡大学,一般選抜（系統別・前期）,宮崎会場（宮崎県婦人会館）,宮崎県宮崎市旭1-3-10 宮崎県婦人会館,
2026/02/03,宮崎県,大学,久留米工業大学,前期一般選抜,エアラインホテル,宮崎県宮崎市橘通西3丁目10-19,
2026/02/03,宮崎県,大学,九州産業大学,一般前期（共テ併用含む）,MRT micc,宮崎県宮崎市橘通西4-6-3,
2026/02/03,宮崎県,大学,中村学園大学,一般選抜A方式・短大一般,宮崎会場,宮崎県宮崎市錦町1-10,
2026/02/03,宮崎県,大学,九州医療科学大学,指定校・総特待・推A/B・一般前中後,九州医療科学大学専門学校,宮崎県宮崎市瀬頭2-1-10,
2026/02/03,宮崎県,大学,吉備国際大学,一般前期AⅠ/AⅡ/B/C・中期,宮崎会場（九州医療科学大学専門学校）,宮崎県宮崎市瀬頭2-1-10,
2026/02/03,宮崎県,大学,志學館大学,一般前期（英語民間含む）,宮崎試験場（ホテルひまわり荘）,宮崎県宮崎市瀬頭2-4-5,
